Date,Open,High,Low,Close,
2025-11-28,189.34072056239,189.75,186.91,187.688629173989,
2025-12-01,186.41,189.95,186.634964028777,189.147769784173,
2025-12-02,205.775,196.403518732165,195.5101,196.131517713004,
2025-12-03,197.4,205.85,204.595293090062,205.141459627329,
2025-12-04,198.53,202.89,202.247909738717,202.455035629454,
2025-12-05,202.908691358025,202.95,200.56,202.005802469136,
2025-12-08,203.596556291391,206.86,202.56,204.775496688742,
2025-12-09,202.080317460317,207.1,200.02,203.428888888889,
2025-12-10,200.363114754098,201.35,198.35,199.920491803279,
2025-12-11,200.896940133038,201.86,198.05,199.731130820399,
2025-12-12,202.251860024907,206.1242,201.5848,202.184023412204,
2025-12-15,203.17,206.63,203.26990881459,205.862279635258,
2025-12-16,206.381463414634,208.65,204.39,206.548861788618,
2025-12-17,206.222301790281,210.66,205.82,208.11621483376,
2025-12-18,206.78484,204.305890515464,202.60296,203.749025051546,
2025-12-19,203.538009573034,206.78484,202.60296,205.121485483146,
2025-12-22,206.78484,206.238427108014,202.60296,204.344195749129,
2025-12-23,202.60296,206.15076433213,204.88261299639,206.78484,
2025-12-24,202.60296,206.78484,202.802776791809,206.247237679181,
2025-12-25,206.78484,203.540395264443,202.60296,202.810522799024,
2025-12-26,202.60296,206.78484,204.8415950555,204.845814914228,
2025-12-29,204.842965086705,206.78484,202.60296,204.278935028902,
2025-12-30,204.488697766497,203.211490761421,202.60296,206.78484,
2025-12-31,204.604404513619,206.78484,202.60296,205.587692584769,
