Date,Open,High,Low,Close,
2026-02-11,979.304817071487,924.337007849658,912.455182928513,923.386043849812,
2026-02-12,923.386043849812,981.426198301911,916.185887850984,935.163367232512,
2026-02-13,935.163367232512,954.44390107553,939.395679539516,947.139243538257,
2026-02-16,947.139243538257,976.148870610461,928.976876156595,929.415782618063,
2026-02-17,929.415782618063,969.000965380855,917.648909389207,958.916566920956,
2026-02-18,958.916566920956,995.857860761102,914.085406928248,927.095848464594,
2026-02-19,927.095848464594,987.037930916383,910.772708159556,925.852280157104,
2026-02-20,925.852280157104,961.853060151248,944.098248769521,961.330552459025,
2026-02-23,961.330552459025,972.501766918747,934.515457694156,958.979267844023,
2026-02-24,958.979267844023,962.835374612627,929.959190617974,930.993755848575,
