Date,High,Low,
2026-08-20,51.455,50.37,
2026-08-21,52.1155,51.09,
2026-08-24,51.915,51.225,
2026-08-25,51.88,51.12,
2026-08-26,52.15,51.13,
2026-08-27,51.71,51.15,
2026-08-28,51.65,50.98,
2026-08-31,51.18,50.355,
2026-09-01,50.49,47.825,
2026-09-02,48.85,47.91,
2026-09-03,49.32,48.31,
2026-09-04,49.68,48.87,
2026-09-08,49.55,48.98,
2026-09-09,48.92,48.27,
2026-09-10,49.5,48.145,
