Date,Open,High,Low,Close,
2026-09-02,715.821283814694,697.672457226509,664.078716185306,694.284676263381,
2026-09-03,694.284676263381,662.395346762634,641.668860745982,651.516571868615,
2026-09-04,651.516571868615,663.962984537498,632.610229040227,635.314141175394,
2026-09-07,635.314141175394,673.631837658971,661.017088047821,666.877317850499,
2026-09-08,666.877317850499,686.414924212388,666.456475494831,671.632836469548,
2026-09-09,671.632836469548,697.440993930892,656.998043551191,675.23103861051,
2026-09-10,675.23103861051,644.877783707951,628.412326542438,633.704419164964,
2026-09-11,633.704419164964,668.813192686572,638.018053310562,638.396811430663,
2026-09-14,638.396811430663,657.387322730184,642.563150751777,643.225977461954,
2026-09-15,643.225977461954,674.441959193632,662.637331117143,668.960487511056,
2026-09-16,668.960487511056,689.497594467657,675.010096373784,677.535150507792,
