Date,High,Low,
2026-06-10,127.75,119.04,
2026-06-11,124.345,120.555,
2026-06-12,130,123.91,
2026-06-15,131.43,126.43,
2026-06-16,135.54,131.06,
2026-06-17,135.22,130.82,
2026-06-18,140.5646,133.34,
2026-06-22,138.99,135.5,
2026-06-23,138.87,133,
2026-06-24,142.98,136.85,
2026-06-25,148,143.96,
2026-06-26,150.52,145.27,
2026-06-29,150.08,146.175,
2026-06-30,150.76,145.17,
2026-07-01,145.85,137.48,
