Date,High,Low,
2026-01-15,156.79,154.81,
2026-01-16,157.785,155.71,
2026-01-20,157.6,155.3491,
2026-01-21,157,155.01,
2026-01-22,156.69,152.74,
2026-01-23,153.73,152.465,
2026-01-26,153.79,148.892,
2026-01-27,150.91,147.55,
2026-01-28,148.225,146.75,
2026-01-29,148.83,145.83,
2026-01-30,149.94,147.09,
2026-02-02,150.49,148.75,
2026-02-03,152.61,149.51,
2026-02-04,155.19,152.625,
2026-02-05,156.39,153.59,
