Date,Open,High,Low,Close,
2026-03-30,74.5295316804408,77.9090810704447,74.0809189295553,76.4336435786436,
2026-03-31,76.4336435786436,78.1184336875246,72.8846182605273,74.7189459530369,
2026-04-01,74.7189459530369,77.4604683195592,72.4559438541257,72.5755739210285,
2026-04-02,72.5755739210285,75.7557398661944,72.4160671651581,75.0080519480519,
2026-04-03,75.0080519480519,76.0049691722419,72.6652964712056,74.6292234028598,
2026-04-06,74.6292234028598,77.2909923914469,73.2435084612357,73.8217204512659,
2026-04-07,73.8217204512659,76.7626262626263,74.9282985701168,76.6230578512397,
2026-04-08,76.6230578512397,74.7787609864883,71.2596431850977,73.2435084612357,
2026-04-09,73.2435084612357,75.7856473829201,68.4283982683983,69.9935583103765,
2026-04-10,69.9935583103765,76.8523488128034,71.4789649744195,76.2242909615637,
2026-04-13,76.2242909615637,77.3707457693821,73.811751279024,76.4137052341598,
