Date,High,Low,
2026-05-22,94.8,93.77,
2026-05-26,94.7771,93.75,
2026-05-27,94.57,93.3987,
2026-05-28,94.25,92.415,
2026-05-29,92.57,91.345,
2026-06-01,91.2343,89.02,
2026-06-02,90.64,89.33,
2026-06-03,92.41,90.425,
2026-06-04,91.93,89.935,
2026-06-05,93.57,91.9,
2026-06-08,92.775,90.6482,
2026-06-09,93.36,90.9245,
2026-06-10,94.5,92.78,
2026-06-11,95.06,93.27,
2026-06-12,94.68,93.23,
