Date,Open,High,Low,Close,
2026-02-11,210.768099694917,219.365329644759,185.164670355241,219.323493975904,
2026-02-12,219.323493975904,162.960389110088,157.710012668701,158.850034645018,
2026-02-13,158.850034645018,177.968935312064,157.699553751487,158.327088784322,
2026-02-16,158.327088784322,181.263494234449,163.483334970784,175.10319199545,
2026-02-17,175.10319199545,170.783659186101,164.487391023321,170.898707275454,
2026-02-18,170.898707275454,188.804373545685,186.597542013548,209.607159884172,
2026-02-19,209.607159884172,177.738839133357,170.679070013961,173.02186746988,
2026-02-20,173.02186746988,174.391985624903,148.495706603237,158.389842287605,
2026-02-23,158.389842287605,163.085896116655,159.06967190651,170.930084027096,
2026-02-24,170.930084027096,157.448539738353,139.99260690832,165.627412999638,
